date,station,AWND,AWNDattr,PRCP,PRCPattr,SNOW,SNOWattr,SNWD,SNWDattr,TAVG,TAVGattr,TMAX,TMAXattr,TMIN,TMINattr,WDF2,WDF2attr,WDF5,WDF5attr,WSF2,WSF2attr,WSF5,WSF5attr,WT01,WT01attr,WT08,WT08attr,WT02,WT02attr,WT03,WT03attr
2017-08-05,GHCND:USW00014764,37,",,W,",13,",,W,2400",0,",,W,",0,",,W,2400",203,"H,,S,",228,",,W,2400",167,",,W,2400",150,",,W,",170,",,W,",76,",,W,",125,",,W,",1,",,W,",1,",,W,",1,",,W,"
2017-08-06,GHCND:USW00014764,37,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",197,"H,,S,",250,",,W,2400",139,",,W,2400",310,",,W,",300,",,W,",98,",,W,",134,",,W,",,,,,,
2017-08-07,GHCND:USW00014764,36,",,W,",5,",,W,2400",0,",,W,",0,",,W,2400",193,"H,,S,",261,",,W,2400",111,",,W,2400",210,",,W,",220,",,W,",76,",,W,",107,",,W,",1,",,W,",,,,
2017-08-08,GHCND:USW00014764,23,",,W,",36,",,W,2400",0,",,W,",0,",,W,2400",192,"H,,S,",228,",,W,2400",150,",,W,2400",360,",,W,",220,",,W,",63,",,W,",89,",,W,",1,",,W,",,,,
2017-08-09,GHCND:USW00014764,27,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",197,"H,,S,",278,",,W,2400",117,",,W,2400",170,",,W,",180,",,W,",81,",,W,",107,",,W,",1,",,W,",,,,
2017-08-10,GHCND:USW00014764,25,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",217,"H,,S,",272,",,W,2400",150,",,W,2400",150,",,W,",140,",,W,",72,",,W,",107,",,W,",,,,,,
2017-08-11,GHCND:USW00014764,22,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",210,"H,,S,",261,",,W,2400",167,",,W,2400",150,",,W,",150,",,W,",67,",,W,",85,",,W,",1,",,W,",,,,
2017-08-12,GHCND:USW00014764,31,",,W,",20,",,W,2400",0,",,W,",0,",,W,2400",196,"H,,S,",228,",,W,2400",178,",,W,2400",190,",,W,",180,",,W,",76,",,W,",107,",,W,",1,",,W,",,,,
2017-08-13,GHCND:USW00014764,35,",,W,",3,",,W,2400",0,",,W,",0,",,W,2400",227,"H,,S,",300,",,W,2400",161,",,W,2400",320,",,W,",310,",,W,",98,",,W,",130,",,W,",,,,,,
2017-08-14,GHCND:USW00014764,25,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",208,"H,,S,",272,",,W,2400",128,",,W,2400",190,",,W,",180,",,W,",67,",,W,",89,",,W,",,,,,,
2017-08-15,GHCND:USW00014764,26,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",203,"H,,S,",261,",,W,2400",150,",,W,2400",190,",,W,",180,",,W,",72,",,W,",121,",,W,",1,",,W,",,,,
2017-08-16,GHCND:USW00014764,36,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",225,"H,,S,",278,",,W,2400",133,",,W,2400",350,",,W,",350,",,W,",81,",,W,",107,",,W,",,,,,,
2017-08-17,GHCND:USW00014764,25,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",193,"H,,S,",283,",,W,2400",100,",,W,2400",280,",,W,",280,",,W,",81,",,W,",103,",,W,",,,,,,
